"업체명","적용지역","광역지역","상위지역","하위지역","대표역","대표역주소","역노선","위치표시","주소표시","역선정방식","역거리km","계산상가까운역","계산거리km"
"","경기","경기","동두천시","생연동","동두천중앙역","경기도 동두천시 동두천로 228(생연동 682)","경원선","동두천중앙역 인근","경기도 동두천시 동두천로 228(생연동 682)","좌표최단거리","0.54","동두천중앙역","0.54"
"","경기","경기","동두천시","소요동","동두천역","경기도 동두천시 평화로 2687(동두천동 245-210)","경원선","동두천역 인근","경기도 동두천시 평화로 2687(동두천동 245-210)","좌표최단거리","0.33","동두천역","0.33"
"","경기","경기","동두천시","송내동","지행역","경기도 동두천시 평화로 2285(지행동)","경원선","지행역 인근","경기도 동두천시 평화로 2285(지행동)","좌표최단거리","1.35","지행역","1.35"
"","경기","경기","동두천시","중앙동","동두천중앙역","경기도 동두천시 동두천로 228(생연동 682)","경원선","동두천중앙역 인근","경기도 동두천시 동두천로 228(생연동 682)","좌표최단거리","0.72","동두천중앙역","0.72"
"","경기","경기","부천시-소사구","괴안동","역곡역","경기도 부천시 원미구 역곡로 1(역곡동)","경인선","역곡역 인근","경기도 부천시 원미구 역곡로 1(역곡동)","좌표최단거리","0.33","역곡역","0.33"
"","경기","경기","부천시-소사구","범박동","소새울역","경기도 부천시 소사로 지하 284","서해선","소새울역 인근","경기도 부천시 소사로 지하 284","좌표최단거리","1.29","소새울역","1.29"
"","경기","경기","부천시-소사구","소사본동","소새울역","경기도 부천시 소사로 지하 284","서해선","소새울역 인근","경기도 부천시 소사로 지하 284","좌표최단거리","0.59","소새울역","0.59"
"","경기","경기","부천시-소사구","송내동","중동역","경기도 부천시 소사구 중동로 73","경인선","중동역 인근","경기도 부천시 소사구 중동로 73","좌표최단거리","0.44","중동역","0.44"
"","경기","경기","부천시-소사구","심곡본동","부천역","경기도 부천시 소사구 부천로 1","경인선","부천역 인근","경기도 부천시 소사구 부천로 1","좌표최단거리","0.68","부천역","0.68"
"","경기","경기","부천시-소사구","역곡동","","","","역곡동 중심","경기 부천시 소사구 역곡동","지역중심","","",""
