"업체명","적용지역","광역지역","상위지역","하위지역","대표역","대표역주소","위치표시","주소표시","역거리km","역사용여부","계산상가까운역"
"한국미인테라피","경기","경기","성남시-분당구","구미동","오리역","경기도 성남시 분당구 성남대로 지하 55(구미동 795)","오리역 인근","경기도 성남시 분당구 성남대로 지하 55(구미동 795)","1.07","Y","오리역"
"한국미인테라피","경기","경기","성남시-분당구","금곡동","정자역","경기도 성남시 분당구 성남대로 지하 333(정자동)","정자역 인근","경기도 성남시 분당구 성남대로 지하 333(정자동)","1.11","Y","정자역"
"한국미인테라피","경기","경기","성남시-분당구","백현동","판교역","경기도 성남시 분당구 판교역로 160","판교역 인근","경기도 성남시 분당구 판교역로 160","0.73","Y","판교역"
"한국미인테라피","경기","경기","성남시-분당구","분당동","서현역","경기도 성남시 분당구 성남대로 지하 601","서현역 인근","경기도 성남시 분당구 성남대로 지하 601","2.47","Y","서현역"
"한국미인테라피","경기","경기","성남시-분당구","삼평동","판교역","경기도 성남시 분당구 판교역로 지하 160","판교역 인근","경기도 성남시 분당구 판교역로 지하 160","1.05","Y","판교역"
"한국미인테라피","경기","경기","성남시-분당구","서현동","서현역","경기도 성남시 분당구 성남대로 지하 601","서현역 인근","경기도 성남시 분당구 성남대로 지하 601","0.91","Y","서현역"
"한국미인테라피","경기","경기","성남시-분당구","수내동","수내역","경기도 성남시 분당구 성남대로 지하 491(수내동)","수내역 인근","경기도 성남시 분당구 성남대로 지하 491(수내동)","0.98","Y","수내역"
"한국미인테라피","경기","경기","성남시-분당구","야탑동","야탑역","경기도 성남시 성남대로 지하 903(야탑동 688-1)","야탑역 인근","경기도 성남시 성남대로 지하 903(야탑동 688-1)","1.63","Y","야탑역"
"한국미인테라피","경기","경기","성남시-분당구","운중동","판교역","경기도 성남시 분당구 판교역로 160","판교역 인근","경기도 성남시 분당구 판교역로 160","3.23","Y","판교역"
"한국미인테라피","경기","경기","성남시-분당구","이매동","이매역","경기도 성남시 성남대로 지하 738","이매역 인근","경기도 성남시 성남대로 지하 738","0.44","Y","이매역"
"한국미인테라피","경기","경기","성남시-분당구","정자동","정자역","경기도 성남시 분당구 성남대로 지하 333 ","정자역 인근","경기도 성남시 분당구 성남대로 지하 333 ","0.94","Y","정자역"
